enroll_date,birth_band,dose_count_at_enroll,n_start,deaths_52w,person_weeks_52w,death_rate_per_person_week_52w,risk_52w,cum_hazard_52w
2021-11-01,1935-1939,0,13736,1117,683337,0.0016346253751809137,0.08131916132789752,0.08481650892440085
2021-11-01,1935-1939,1,928,126,44422,0.0028364323983611725,0.13577586206896552,0.14592312491968604
2021-11-01,1935-1939,2,186559,7463,9509354,0.0007848062023981861,0.0400034305501209,0.04082556801634931
2021-11-01,1945-1949,0,21183,883,1077649,0.0008193762533069673,0.041684369541613586,0.04257808715457784
2021-11-01,1945-1949,1,1136,83,56518,0.0014685586892671362,0.07306338028169013,0.07587008714712115
2021-11-01,1945-1949,2,264396,3702,13654769,0.0002711140701098642,0.014001724685698713,0.014100673555168084
2021-11-01,1955-1959,0,28282,409,1459830,0.0002801696087900646,0.014461494943780462,0.014567081558299623
2021-11-01,1955-1959,1,2185,34,112643,0.0003018385518851593,0.015560640732265485,0.015682978261960478
2021-11-01,1955-1959,2,230686,1133,11967832,9.467044657712441e-05,0.0049114380586597894,0.004923538808208877
2022-04-25,1935-1939,0,12370,941,620160,0.0015173503611971104,0.07607113985448666,0.07912020148893564
2022-04-25,1935-1939,1,493,61,23903,0.0025519809228967075,0.12373225152129819,0.13208358579857982
2022-04-25,1935-1939,2,9223,1158,447383,0.002588386237295561,0.12555567602732298,0.13416665267640962
2022-04-25,1935-1939,3,174715,6981,8921070,0.0007825294499426639,0.039956500586669774,0.04077668365792206
2022-04-25,1945-1949,0,19672,733,1004494,0.0007297206354642238,0.03726108174054499,0.037973016860293175
2022-04-25,1945-1949,1,443,31,22219,0.0013952023043341285,0.0699774266365688,0.07254642069560925
2022-04-25,1945-1949,2,14326,661,725783,0.0009107405381498327,0.04613988552282566,0.047238248812228135
2022-04-25,1945-1949,3,249952,3397,12917205,0.0002629825879514957,0.013590609397004183,0.013683807101288362
2022-04-25,1955-1959,0,26231,340,1355137,0.00025089714176500233,0.012961762799740817,0.01304649946799903
2022-04-25,1955-1959,1,475,9,24461,0.000367932627447774,0.0189473684210526,0.019129169908995335
2022-04-25,1955-1959,2,31783,364,1643108,0.00022153139051115324,0.011452663373501593,0.0115187501872244
2022-04-25,1955-1959,3,201921,972,10476971,9.277490602961486e-05,0.004813763798713344,0.0048253872764545385
2022-10-31,1935-1939,0,11728,915,585185,0.0015636080897493954,0.07801841746248295,0.08123003118089564
2022-10-31,1935-1939,1,430,47,21153,0.0022219070581005057,0.10930232558139541,0.11575021950696214
2022-10-31,1935-1939,2,5212,544,255387,0.0021301005924342273,0.10437452033768224,0.11023294483828913
2022-10-31,1935-1939,3,18277,1687,901603,0.0018711117864514649,0.09230180007659894,0.09684333456995196
2022-10-31,1935-1939,4,155117,6090,7909661,0.000769944502046295,0.039260687094257896,0.0400521732985143
2022-10-31,1935-1939,5,1753,26,90486,0.00028733726764361336,0.01483171705647457,0.014942806774555898
2022-10-31,1945-1949,0,19067,690,973303,0.0007089262028371433,0.03618817852834744,0.03685920936902031
2022-10-31,1945-1949,1,395,21,19889,0.0010558600231283623,0.05316455696202527,0.054629967486589937
2022-10-31,1945-1949,2,8314,340,422981,0.000803818611237857,0.04089487611258125,0.04175459187128243
2022-10-31,1945-1949,3,29847,891,1526740,0.0005835964211326094,0.029852246456930298,0.030306895844437357
2022-10-31,1945-1949,4,222035,2911,11471885,0.00025375080032618875,0.013110545634697268,0.013197247477537534
2022-10-31,1945-1949,5,2389,15,123901,0.0001210643981888766,0.006278777731268281,0.006298572156196187
2022-10-31,1955-1959,0,25720,307,1329735,0.0002308730686941383,0.01193623639191288,0.012008045251895066
2022-10-31,1955-1959,1,412,6,21318,0.00028145229383619476,0.014563106796116498,0.014670189747793747
2022-10-31,1955-1959,2,16104,183,832412,0.00021984305848546154,0.011363636363636354,0.011428695823622752
2022-10-31,1955-1959,3,71950,415,3729411,0.000111277625340838,0.005767894371091042,0.005784592915079464
2022-10-31,1955-1959,4,144116,726,7475453,9.711786028217956e-05,0.00503760859307778,0.005050340118873557
2022-10-31,1955-1959,5,1280,4,66450,6.0195635816403313e-05,0.0031250000000000444,0.0031298930089276597
2023-01-30,1935-1939,0,11371,840,571050,0.0014709745206199108,0.0738721308592033,0.07674296624412567
2023-01-30,1935-1939,1,410,40,20326,0.001967922857423989,0.09756097560975607,0.10265415406008335
2023-01-30,1935-1939,2,4635,433,229565,0.0018861760285757846,0.09341963322545843,0.0980755965950098
2023-01-30,1935-1939,3,12855,1040,641525,0.0016211371341724797,0.08090237261765854,0.08436293007898164
2023-01-30,1935-1939,4,31805,2499,1587133,0.0015745372315993681,0.07857255148561548,0.08183123691493421
2023-01-30,1935-1939,5,128679,4298,6593318,0.0006518720923213471,0.03340094343288336,0.03397149560399402
2023-01-30,1945-1949,0,18804,662,961471,0.0006885283071460294,0.03520527547330354,0.03583992096913169
2023-01-30,1945-1949,1,383,18,19413,0.0009272137227630969,0.04699738903394257,0.04813763559815448
2023-01-30,1945-1949,2,7653,268,391177,0.0006851118547358357,0.03501894681824125,0.035646811844440913
2023-01-30,1945-1949,3,21216,618,1086265,0.0005689219481434088,0.029128959276018107,0.029561630299841993
2023-01-30,1945-1949,4,48114,1201,2470619,0.000486112994354856,0.024961549652907644,0.025278372508450456
2023-01-30,1945-1949,5,184529,2026,9546754,0.0002122187290046439,0.01097930406602754,0.011040021457066349
2023-01-30,1955-1959,0,25556,321,1321450,0.00024291497975708503,0.012560651119110977,0.012640202947871135
2023-01-30,1955-1959,1,421,8,21716,0.0003683919690550746,0.019002375296912066,0.019185240721348664
2023-01-30,1955-1959,2,14836,166,767255,0.00021635570964021088,0.011188999730385563,0.011252067472454021
2023-01-30,1955-1959,3,44698,273,2317351,0.00011780692696099986,0.006107655823526792,0.006126383848515859
2023-01-30,1955-1959,4,76593,419,3971687,0.00010549673224501326,0.005470473803089071,0.005485491639733322
2023-01-30,1955-1959,5,97018,469,5033989,9.316667159979888e-05,0.004834154486796249,0.004845876805187621
2023-07-31,1935-1939,0,10955,897,546158,0.0016423818748420786,0.08188041989958927,0.08542763529765682
2023-07-31,1935-1939,1,378,37,18621,0.001987003920305032,0.0978835978835979,0.10301171833607088
2023-07-31,1935-1939,2,4236,345,210893,0.0016359006700080135,0.08144475920679883,0.0849532337367435
2023-07-31,1935-1939,3,11311,852,564523,0.0015092387732652168,0.07532490495977362,0.07831285177711286
2023-07-31,1935-1939,4,19512,1319,978749,0.0013476386693626252,0.06759942599425994,0.06999275619895264
2023-07-31,1935-1939,5,38887,2592,1950901,0.001328616880097965,0.06665466608378123,0.06898001380223456
2023-07-31,1935-1939,6,100230,3403,5127396,0.0006636897169635425,0.033951910605607094,0.0345416640269276
2023-07-31,1945-1949,0,18460,682,941938,0.0007240391618131979,0.036944745395449674,0.037644491255222914
2023-07-31,1945-1949,1,357,14,18216,0.0007685551163812034,0.039215686274509776,0.040005334613699164
2023-07-31,1945-1949,2,7328,237,374646,0.0006325971717301132,0.032341703056768534,0.0328762530499695
2023-07-31,1945-1949,3,19877,475,1020604,0.0004654106783826048,0.02389696634300953,0.02418713086937018
2023-07-31,1945-1949,4,33164,721,1704799,0.0004229237581673851,0.02174044144252807,0.02198024686092413
2023-07-31,1945-1949,5,60987,1177,3139093,0.0003749490696835041,0.019299194910390782,0.01948785565057111
2023-07-31,1945-1949,6,138210,1475,7150374,0.00020628291611040204,0.010672165545184908,0.010729521544040459
2023-07-31,1955-1959,0,25385,356,1310737,0.0002716029226305506,0.014024029938940363,0.014123295811310476
2023-07-31,1955-1959,1,396,6,20439,0.0002935564362248642,0.015151515151515138,0.015267472130788435
2023-07-31,1955-1959,2,14448,143,747442,0.0001913191926597649,0.009897563676633414,0.009946870172556025
2023-07-31,1955-1959,3,42581,245,2207810,0.00011096969395011347,0.005753739930955071,0.005770356461336417
2023-07-31,1955-1959,4,67002,304,3476103,8.745425552695072e-05,0.004537177994686781,0.004547502227187598
2023-07-31,1955-1959,5,64828,373,3361261,0.00011097025788833417,0.00575368667859566,0.0057703029008050214
2023-07-31,1955-1959,6,43698,266,2265549,0.00011741083507794358,0.006087235113735212,0.006105837860683136
