rel_week,event_0,event_1,event_2,event_3,event_4,mean_across_events
-6,-1.7422383293209465e-05,-3.1174060156796885e-05,3.8124688365814385e-06,2.142606473155964e-05,-2.0665151930502202e-05,-8.804612362473496e-06
-5,2.6387732147507067e-05,1.0528131136642172e-05,-3.39109581096809e-05,-9.696728717173203e-06,2.2176562934624207e-05,3.0969478783838687e-06
-4,1.7231491618315974e-05,-8.539557685711529e-09,2.297555421504376e-05,5.07629720799662e-09,3.473973743698338e-05,1.498866400197308e-05
-3,1.4694334859371397e-05,-2.510566215258329e-06,-2.1522935392265057e-05,-1.889773604138933e-05,-9.499286791021322e-07,-5.8373662937286896e-06
-2,-4.089117533198508e-05,2.31650347930987e-05,2.864587045032054e-05,7.163323729795059e-06,-3.530121976200336e-05,-3.4436332241548285e-06
-1,-1.4282555304219664e-05,4.618934327585173e-05,1.5251909458328125e-05,-2.5387399048724653e-05,-1.8626143251016512e-05,6.290310260438051e-07
0,-1.9496316849274714e-05,2.4920605327140408e-05,6.142094439529961e-05,5.2535286629714034e-05,9.110811163771297e-06,2.5698266133330126e-05
1,-2.206020422127619e-05,6.812432405168574e-05,8.055255951657208e-05,7.459694446391822e-05,9.706044409363073e-07,4.0436845650367234e-05
2,3.2556541065816924e-06,-2.3054888048283726e-05,2.923921110110667e-05,0.0001349294694558209,-4.44820934405083e-05,1.9977470634943447e-05
3,2.3282863902403836e-05,-6.458791413238102e-05,4.158236957229819e-05,0.0001270369860747019,3.998004137946562e-06,2.626246191099389e-05
4,4.8644734143188926e-05,-2.9475590449492195e-05,3.224031825918171e-05,0.00010819396596062336,-4.01020512945878e-05,2.39002753237828e-05
5,-1.6344506916725126e-05,-5.758520731071826e-05,5.1378778050656e-05,9.889591330633594e-05,-1.2659309687745868e-06,1.5015809232154793e-05
6,5.4211701895337885e-05,-4.1292105332133e-05,2.1678002109433144e-05,5.2630963201755134e-05,-2.603141464723157e-05,1.2239429445432319e-05
7,-1.3477653821456523e-05,-5.5961991865942395e-05,3.67498299477591e-05,0.00010625330984357587,3.637072063587853e-05,2.198684294796292e-05
8,5.7128400469325384e-05,-0.00010703134206394477,1.516484092863843e-05,8.734897077473285e-05,2.5461818286575874e-05,1.5614537679065554e-05
