rel_week,placebo_0,placebo_1,placebo_2,placebo_3,placebo_4,mean_across_placebos
-6,-8.670654269052845e-06,-4.4273139834820834e-05,-2.340570273487669e-05,1.641714652446456e-05,-3.722839896970579e-05,-1.943214985679832e-05
-5,9.855579357700886e-06,-2.4416927461253662e-05,2.912035442158528e-05,1.805902105426197e-05,-6.041045642128889e-06,5.3153963460331165e-06
-4,4.260038144104266e-06,6.7704258663232354e-06,-5.655015126940634e-07,1.829699641210024e-05,6.77889680501749e-06,7.108171142970234e-06
-3,-2.5484693212729015e-05,1.9590368313469615e-05,6.607410250789286e-06,-9.602224708242567e-06,2.951780160782944e-05,4.1257324502233515e-06
-2,2.0039729979976818e-05,4.2329273116281565e-05,-1.1756560424803868e-05,-4.317093928258409e-05,6.972746198987529e-06,2.88284991757159e-06
-1,-2.8185887273407865e-05,1.9784217707439654e-05,6.769673201949863e-06,-5.425393397428521e-05,-2.6923463393826064e-05,-1.6561878746425926e-05
0,-6.934324937104235e-05,-1.411199188537394e-05,1.1741319883532431e-06,-6.9577060397964e-05,-1.3502496912947185e-06,-3.0641683871464354e-05
1,-8.209429058489895e-05,1.1461221817157406e-05,-2.8570599368480038e-05,-6.377986472428743e-05,-2.3934470914036476e-05,-3.7383600754909094e-05
2,-7.494532283489671e-05,-1.1122999405584351e-05,1.6953823824225795e-05,-3.541825417226489e-05,-3.9450677212034887e-05,-2.879668596011101e-05
3,-7.632565819313476e-05,-2.6639205703582762e-05,-3.127179342915889e-05,-6.0617772464394214e-05,1.3075379944427082e-05,-3.635580996916871e-05
4,-6.063610099927796e-05,2.5886851452879207e-05,-7.242915552679337e-05,-6.04503973053744e-05,-1.661047598985226e-05,-3.684785567368376e-05
5,-6.62795921579219e-05,-3.7990044814001367e-06,-8.518019674064997e-05,-6.875253271705043e-05,-9.437564226368912e-06,-4.668977806467827e-05
6,-7.334991753717455e-05,3.3739072820832125e-06,-7.803122899064773e-05,-8.13013167651968e-05,-2.7801534901962066e-05,-5.1422018182579584e-05
7,-7.102859475903792e-07,-1.4990063393509941e-05,-7.941156434888578e-05,-9.386494838919116e-05,-9.275301275208335e-06,-3.965043267087712e-05
8,-1.4871108951081569e-05,3.5361702332437897e-06,-6.372200715502898e-05,-9.513693528659747e-05,-1.4870842488804955e-05,-3.701294472965384e-05
