,rate
1,0.0005536018085289369
2,0.0006739460553908454
3,0.000745313929121369
4,0.0008443548433815904
5,0.0008871043724678751
6,0.0009560798116276134
7,0.0010383175480022189
8,0.0010350356665731451
9,0.0010608466108933958
10,0.0011654026903321105
11,0.001217808295097556
12,0.0011462815939301105
13,0.0012060733468023707
14,0.0012426578534073562
15,0.0012456694667362287
16,0.0012413538093127947
17,0.0012987241944677876
18,0.0012739340731761854
19,0.0013197470092117163
20,0.0013273905566486043
21,0.0013291548642637516
22,0.0013531059326670827
23,0.001255725173883878
24,0.0012365466247763021
25,0.0011608832807570978
26,0.0012410027302060065
27,0.0011502839251913669
28,0.001069670085737484
29,0.0010902035295152846
30,0.0010540680157542857
31,0.0010656423746039337
32,0.0009485806450647623
33,0.0008326681472983962
34,0.0009008104296161288
35,0.0007681044622068602
36,0.0008152369742246992
37,0.0007302549431197513
38,0.0007458254076853098
39,0.0006771611598416346
40,0.0006414802835162154
41,0.0005740865469372257
42,0.0005970311270319412
43,0.0005883364560422155
44,0.0005192484181036564
45,0.0005270693133902789
46,0.0005303693092959688
47,0.0004883196361943119
48,0.0005626738503378312
49,0.0004782393527423849
50,0.00046786919649143525
51,0.0004347615325419765
52,0.0004637452735112034
53,0.0004487983273165044
54,0.0004251055172623205
55,0.0004407897736772507
56,0.0004428697962798937
57,0.0003930913434582287
58,0.0003844411187236555
59,0.0004077506215524456
60,0.00041132190296778694
61,0.00038274992038801655
62,0.00035413370617020496
63,0.00037612338075046595
64,0.00033986248640934517
65,0.0003294877696911283
66,0.0003743846918259342
67,0.00031321263589262517
68,0.00033294154630442624
69,0.0003221905219953399
70,0.00033492710640195945
71,0.0002853008584245718
72,0.0003607618272666014
73,0.0003336621830810815
74,0.0002967532277994532
75,0.0003096051305993071
76,0.0003588182917591399
77,0.0003119509242178463
78,0.0003278554157616491
79,0.00034795253304250733
80,0.0003130749910799863
81,0.00031630777449364396
82,0.00028498147620404675
83,0.00023607717257065138
84,0.00025255781012951093
85,0.0002482300312237918
86,0.00020817838574565227
87,0.0002446957288985656
88,0.00018712743198187742
89,0.00017482008099997087
90,0.00023372139673378948
91,0.0001949716072596928
92,0.0002118405248980639
93,0.00016064819487037957
94,0.00022077979423323178
95,0.00022102914019664463
96,0.00021052795733300065
97,0.0002756293067079173
98,0.0002483679770888207
99,0.00023923762942091204
100,0.00032072881117721887
101,0.0002956638374281573
102,0.00025616694869084257
103,0.000317734265835262
104,0.00027096844120888053
